seq,timestampIso,epochMs,msSinceSessionStart,msSinceTrialStart,participantId,condition,block,trial,task,variant,scenario,attempt,source,category,eventType,detail,value,target,posX,posY,posZ,yaw
1,2026-08-02T10:14:03.000Z,1785665643000,0,,P07,C,1,,,,,0,wizard,session,session-start,condition=C,,,,,,
2,2026-08-02T10:14:03.001Z,1785665643001,1,,P07,C,1,,task2,v3,user_error,0,system,session,plan-assigned,block=1 task=task2 variant=v3 scenario=user_error,1,,,,,
3,2026-08-02T10:14:03.002Z,1785665643002,2,,P07,C,1,,task4,v1,system_behaviour,0,system,session,plan-assigned,block=2 task=task4 variant=v1 scenario=system_behaviour,2,,,,,
4,2026-08-02T10:14:03.003Z,1785665643003,3,,P07,C,1,,task3,v2,system_limit,0,system,session,plan-assigned,block=3 task=task3 variant=v2 scenario=system_limit,3,,,,,
5,2026-08-02T10:14:03.004Z,1785665643004,4,,P07,C,1,,task5,v1,user_error,0,system,session,plan-assigned,block=4 task=task5 variant=v1 scenario=user_error,4,,,,,
6,2026-08-02T10:14:03.005Z,1785665643005,5,,P07,C,1,,task1,v2,user_error,0,system,session,plan-assigned,block=5 task=task1 variant=v2 scenario=user_error,5,,,,,
7,2026-08-02T10:14:03.006Z,1785665643006,6,,P07,C,1,,task6,v3,system_capability,0,system,session,plan-assigned,block=6 task=task6 variant=v3 scenario=system_capability,6,,,,,
8,2026-08-02T10:26:25.301Z,1785666385301,742301,,P07,C,1,,task4,,,0,wizard,ui,task-change,task4,,,,,,
9,2026-08-02T10:26:25.890Z,1785666385890,742890,,P07,C,1,,task4,v1,,0,wizard,ui,variant-change,v1,,,,,,
10,2026-08-02T10:26:26.104Z,1785666386104,743104,,P07,C,1,,task4,v1,,0,wizard,scene,reset,clear-scene,,,,,,
11,2026-08-02T10:26:26.210Z,1785666386210,743210,0,P07,C,1,2,task4,v1,system_behaviour,0,wizard,trial,trial-start,task4/v1/system_behaviour,,,,,,
12,2026-08-02T10:26:26.612Z,1785666386612,743612,402,P07,C,1,2,task4,v1,system_behaviour,0,participant,pose,head-pose,,,,0.041,1.612,-0.208,3.4
13,2026-08-02T10:26:27.910Z,1785666387910,744910,1700,P07,C,1,2,task4,v1,system_behaviour,0,participant,pose,head-pose,,,,0.055,1.615,-0.201,7.9
14,2026-08-02T10:26:31.330Z,1785666391330,748330,5120,P07,C,1,2,task4,v1,system_behaviour,1,participant,speech,transcript,Create a large moon above the campfire.,,,,,,
15,2026-08-02T10:26:33.104Z,1785666393104,750104,6894,P07,C,1,2,task4,v1,system_behaviour,1,wizard,outcome,inject,error/system_behaviour,behind,sphere,,,,
16,2026-08-02T10:26:33.104Z,1785666393104,750104,6894,P07,C,1,2,task4,v1,system_behaviour,1,system,feedback,feedback-shown,"The moon was created successfully, but it is behind you, outside your view. Turn around to see it.",C,,,,,
17,2026-08-02T10:26:34.002Z,1785666394002,751002,7792,P07,C,1,2,task4,v1,system_behaviour,1,participant,pose,head-pose,,,,0.056,1.614,-0.200,9.1
18,2026-08-02T10:26:36.440Z,1785666396440,753440,10230,P07,C,1,2,task4,v1,system_behaviour,1,participant,pose,head-pose,,,,0.061,1.618,-0.197,41.6
19,2026-08-02T10:26:36.940Z,1785666396940,753940,10730,P07,C,1,2,task4,v1,system_behaviour,1,participant,pose,head-pose,,,,0.070,1.620,-0.190,98.2
20,2026-08-02T10:26:37.440Z,1785666397440,754440,11230,P07,C,1,2,task4,v1,system_behaviour,1,participant,pose,head-pose,,,,0.074,1.619,-0.188,163.7
21,2026-08-02T10:26:37.940Z,1785666397940,754940,11730,P07,C,1,2,task4,v1,system_behaviour,1,participant,pose,head-pose,,,,0.075,1.621,-0.187,179.2
22,2026-08-02T10:26:39.820Z,1785666399820,756820,13610,P07,C,1,2,task4,v1,system_behaviour,2,participant,speech,transcript,"Oh, I see it. Can you bring it in front of me?",,,,,,
23,2026-08-02T10:26:39.821Z,1785666399821,756821,13611,P07,C,1,2,task4,v1,system_behaviour,2,participant,measure,first-repair-latency,6717,6717,,,,,
24,2026-08-02T10:26:39.822Z,1785666399822,756822,13612,P07,C,1,2,task4,v1,system_behaviour,2,system,measure,utterance-similarity,sim=0.062 prevWords=7 currWords=11,0.062,,,,,
25,2026-08-02T10:26:39.830Z,1785666399830,756830,13620,P07,C,1,2,task4,v1,system_behaviour,2,system,measure,repair-slot-check,"slot=""turn around / in front"" found=true",1,,,,,
26,2026-08-02T10:26:41.210Z,1785666401210,758210,15000,P07,C,1,2,task4,v1,system_behaviour,2,wizard,measure,repair-strategy,1:question,1,,,,,
27,2026-08-02T10:26:44.550Z,1785666404550,761550,18340,P07,C,1,2,task4,v1,system_behaviour,2,wizard,measure,manipulation-check,noticed=yes,yes,,,,,
28,2026-08-02T10:26:52.880Z,1785666412880,769880,26670,P07,C,1,2,task4,v1,system_behaviour,2,wizard,measure,attribution,participant=system correct=system match=true,1,system,,,,
29,2026-08-02T10:26:55.400Z,1785666415400,772400,29190,P07,C,1,2,task4,v1,system_behaviour,2,wizard,outcome,inject,success,front,sphere,,,,
30,2026-08-02T10:26:55.400Z,1785666415400,772400,29190,P07,C,1,2,task4,v1,system_behaviour,2,system,feedback,feedback-shown,(silent — correct outcome),C,,,,,
