seq,timestampIso,epochMs,msSinceSessionStart,msSinceTrialStart,participantId,condition,block,trial,task,variant,scenario,attempt,source,category,eventType,detail,value,target,posX,posY,posZ,yaw
1,2026-08-04T09:31:12.000Z,1785835872000,0,,P10,A,1,,,,,0,wizard,session,session-start,condition=A,,,,,,
2,2026-08-04T09:31:12.001Z,1785835872001,1,,P10,A,1,,task1,v1,user_error,0,system,session,plan-assigned,block=1 task=task1 variant=v1 scenario=user_error,1,,,,,
3,2026-08-04T09:31:12.002Z,1785835872002,2,,P10,A,1,,task3,v2,system_limit,0,system,session,plan-assigned,block=2 task=task3 variant=v2 scenario=system_limit,2,,,,,
4,2026-08-04T09:31:12.003Z,1785835872003,3,,P10,A,1,,task2,v3,user_error,0,system,session,plan-assigned,block=3 task=task2 variant=v3 scenario=user_error,3,,,,,
5,2026-08-04T09:31:12.004Z,1785835872004,4,,P10,A,1,,task4,v1,system_behaviour,0,system,session,plan-assigned,block=4 task=task4 variant=v1 scenario=system_behaviour,4,,,,,
6,2026-08-04T09:31:12.005Z,1785835872005,5,,P10,A,1,,task5,v2,user_error,0,system,session,plan-assigned,block=5 task=task5 variant=v2 scenario=user_error,5,,,,,
7,2026-08-04T09:31:12.006Z,1785835872006,6,,P10,A,1,,task6,v3,system_capability,0,system,session,plan-assigned,block=6 task=task6 variant=v3 scenario=system_capability,6,,,,,
8,2026-08-04T09:38:02.220Z,1785836282220,410220,,P10,A,1,,task3,,,0,wizard,ui,task-change,task3,,,,,,
9,2026-08-04T09:38:02.890Z,1785836282890,410890,,P10,A,1,,task3,v2,,0,wizard,ui,variant-change,v2,,,,,,
10,2026-08-04T09:38:03.240Z,1785836283240,411240,,P10,A,1,,task3,v2,,0,wizard,scene,reset,clear-scene,,,,,,
11,2026-08-04T09:38:03.400Z,1785836283400,411400,0,P10,A,1,2,task3,v2,system_limit,0,wizard,trial,trial-start,task3/v2/system_limit,,,,,,
12,2026-08-04T09:38:04.010Z,1785836284010,412010,610,P10,A,1,2,task3,v2,system_limit,0,participant,pose,head-pose,,,,0.012,1.588,-0.144,2.1
13,2026-08-04T09:38:10.760Z,1785836290760,418760,7360,P10,A,1,2,task3,v2,system_limit,1,participant,speech,transcript,Fill the area around the campfire with about ten thousand balls.,,,,,,
14,2026-08-04T09:38:12.310Z,1785836292310,420310,8910,P10,A,1,2,task3,v2,system_limit,1,wizard,outcome,inject,error/system_limit,floor,sphere,,,,
15,2026-08-04T09:38:12.310Z,1785836292310,420310,8910,P10,A,1,2,task3,v2,system_limit,1,system,feedback,feedback-shown,(silent — condition A),A,,,,,
16,2026-08-04T09:38:15.880Z,1785836295880,423880,12480,P10,A,1,2,task3,v2,system_limit,1,participant,pose,head-pose,,,,0.031,1.585,-0.140,18.7
17,2026-08-04T09:38:19.410Z,1785836299410,427410,16010,P10,A,1,2,task3,v2,system_limit,2,participant,speech,transcript,Fill the area around the campfire with ten thousand balls.,,,,,,
18,2026-08-04T09:38:19.411Z,1785836299411,427411,16011,P10,A,1,2,task3,v2,system_limit,2,participant,measure,first-repair-latency,7101,7101,,,,,
19,2026-08-04T09:38:19.412Z,1785836299412,427412,16012,P10,A,1,2,task3,v2,system_limit,2,system,measure,utterance-similarity,sim=0.909 prevWords=11 currWords=10,0.909,,,,,
20,2026-08-04T09:38:20.900Z,1785836300900,428900,17500,P10,A,1,2,task3,v2,system_limit,2,wizard,measure,repair-strategy,1:verbatim,1,,,,,
21,2026-08-04T09:38:21.550Z,1785836301550,429550,18150,P10,A,1,2,task3,v2,system_limit,2,wizard,outcome,inject,error/system_limit,floor,sphere,,,,
22,2026-08-04T09:38:21.550Z,1785836301550,429550,18150,P10,A,1,2,task3,v2,system_limit,2,system,feedback,feedback-shown,(silent — condition A),A,,,,,
23,2026-08-04T09:38:26.120Z,1785836306120,434120,22720,P10,A,1,2,task3,v2,system_limit,3,participant,speech,transcript,Fill. The area. With ten thousand balls.,,,,,,
24,2026-08-04T09:38:26.121Z,1785836306121,434121,22721,P10,A,1,2,task3,v2,system_limit,3,system,measure,utterance-similarity,sim=0.700 prevWords=10 currWords=7,0.7,,,,,
25,2026-08-04T09:38:27.600Z,1785836307600,435600,24200,P10,A,1,2,task3,v2,system_limit,3,wizard,measure,repair-strategy,2:verbatim,2,,,,,
26,2026-08-04T09:38:28.180Z,1785836308180,436180,24780,P10,A,1,2,task3,v2,system_limit,3,wizard,outcome,inject,error/system_limit,floor,sphere,,,,
27,2026-08-04T09:38:28.180Z,1785836308180,436180,24780,P10,A,1,2,task3,v2,system_limit,3,system,feedback,feedback-shown,(silent — condition A),A,,,,,
28,2026-08-04T09:38:33.730Z,1785836313730,441730,30330,P10,A,1,2,task3,v2,system_limit,4,participant,speech,transcript,Make ten thousand balls.,,,,,,
29,2026-08-04T09:38:33.731Z,1785836313731,441731,30331,P10,A,1,2,task3,v2,system_limit,4,system,measure,utterance-similarity,sim=0.571 prevWords=7 currWords=4,0.571,,,,,
