seq,timestampIso,epochMs,msSinceSessionStart,msSinceTrialStart,participantId,condition,block,trial,task,variant,scenario,attempt,source,category,recordType,eventType,detail,value,target,posX,posY,posZ,yaw,taskOrder,startTime,endTime,durationMs,completionStatus,attempts,injects,attribution,correctAttribution,attributionCorrect,perceivedReparability,reparabilityCorrect,noticedFeedback,firstRepairStrategy,repairSequence,wastedRepairs,repairContainsSlot,preInjectHadSlot,msToFirstRepair,maxUtteranceSimilarity,utteranceSimilarities,missingSlot,conditionOrder,plan,questionnaire,answers,objectId,objectShape,color,prevColor,fromX,fromY,fromZ,lifetimeMs,itemId,itemRaw,itemScore,itemReversed,scaleName,scaleScore,instrument
1,2026-08-06T14:43:39.548Z,1786027419548,,,EXAMPLE,A,1,,,,,,wizard,session,session-start,,,,,,,,,1-3-6-2-5-4,,,,,,,,,,,,,,,,,,,,,,A,A:task1:v1 A:task3:v2 A:task6:v3 A:task2:v1 A:task5:v2 A:task4:v3,,,,,,,,,,,,,,,,,
1,2026-08-06T14:43:39.550Z,1786027419550,0,,EXAMPLE,A,1,,task1,,,0,wizard,session,event,session-start,condition=A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-08-06T14:43:39.551Z,1786027419551,1,,EXAMPLE,A,1,,task1,v1,user_error,0,system,session,event,plan-assigned,block=1 task=task1 variant=v1 scenario=user_error,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-08-06T14:43:39.551Z,1786027419551,1,,EXAMPLE,A,1,,task3,v2,system_limit,0,system,session,event,plan-assigned,block=2 task=task3 variant=v2 scenario=system_limit,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-08-06T14:43:39.552Z,1786027419552,2,,EXAMPLE,A,1,,task6,v3,system_capability,0,system,session,event,plan-assigned,block=3 task=task6 variant=v3 scenario=system_capability,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-08-06T14:43:39.552Z,1786027419552,2,,EXAMPLE,A,1,,task2,v1,user_error,0,system,session,event,plan-assigned,block=4 task=task2 variant=v1 scenario=user_error,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-08-06T14:43:39.553Z,1786027419553,3,,EXAMPLE,A,1,,task5,v2,user_error,0,system,session,event,plan-assigned,block=5 task=task5 variant=v2 scenario=user_error,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-08-06T14:43:39.553Z,1786027419553,3,,EXAMPLE,A,1,,task4,v3,system_behaviour,0,system,session,event,plan-assigned,block=6 task=task4 variant=v3 scenario=system_behaviour,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-08-06T14:43:40.027Z,1786027420027,477,,EXAMPLE,A,1,,task1,,,0,wizard,scene,event,reset,clear-scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-08-06T14:43:40.028Z,1786027420028,478,,EXAMPLE,A,1,,task1,,,0,system,scene,event,object-spawned,sphere (scene baseline),baseline,sphere,-0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj1,sphere,#cccccc,,,,,,,,,,,,
